customer_city,lane_class,open_shipments,at_risk_shipments,already_breached,p1_count,at_risk_pct,lane_status
Nashik,Regional,1,1,1,1,100.0,Insufficient Sample
Nayagarh,National,1,1,1,1,100.0,Insufficient Sample
New Delhi,Metro,1,1,1,1,100.0,Insufficient Sample
North West Delhi,National,1,1,1,1,100.0,Insufficient Sample
PUNE (District),Regional,1,1,1,1,100.0,Insufficient Sample
Palakkad,National,1,1,1,1,100.0,Insufficient Sample
Patiala,National,1,1,1,1,100.0,Insufficient Sample
Raigarh,Regional,1,1,0,1,100.0,Insufficient Sample
Raigarh(MH),Regional,1,1,1,1,100.0,Insufficient Sample
Raipur,Regional,1,1,1,1,100.0,Insufficient Sample
Ranchi,National,1,1,1,1,100.0,Insufficient Sample
Ratlam,Regional,1,1,1,1,100.0,Insufficient Sample
Rupnagar,National,1,1,1,1,100.0,Insufficient Sample
Saharanpur,National,1,1,1,1,100.0,Insufficient Sample
Sambalpur,National,1,1,1,1,100.0,Insufficient Sample
Satara,Regional,1,1,1,1,100.0,Insufficient Sample
Sonbhadra,National,1,1,1,1,100.0,Insufficient Sample
Srikakulam,National,1,1,1,1,100.0,Insufficient Sample
Surendra Nagar,National,1,1,1,1,100.0,Insufficient Sample
Tumkur,National,1,1,1,1,100.0,Insufficient Sample
Valsad,National,1,1,0,0,100.0,Insufficient Sample
Virudhunagar,National,1,1,1,1,100.0,Insufficient Sample
West Godavari,National,1,1,1,1,100.0,Insufficient Sample
Yamuna Nagar,National,1,1,1,1,100.0,Insufficient Sample
jodhpur,National,1,1,1,1,100.0,Insufficient Sample
Kalahandi,National,2,1,1,1,50.0,Insufficient Sample
Krishna,National,2,1,0,0,50.0,Insufficient Sample
Mandla,Regional,1,0,0,0,0.0,Insufficient Sample
